poem,subject,score_1,score_2,score_3,score_4,score_5,rt_1,rt_2,rt_3,rt_4,rt_5
104,184,7,7,7,7,7,5766,16187,5982,2081,3731
28,184,1,2,1,0,2,1274,2072,1699,11675,1924
7,184,9,8,9,8,8,9758,968,1060,989,1072
136,184,5,5,4,5,4,875,2042,873,9229,1127
58,189,1,1,2,2,1,20,28,98,67,60
136,189,3,3,2,4,3,77,23,44,126,48
136,189,3,3,2,4,3,77,23,44,126,48
44,191,6,6,9,9,9,3049,13258,29762,2229,3259
87,195,9,8,7,8,8,2788,24132,3633,2559,1722
140,195,8,9,6,8,8,647,8216,632,1115,988
36,195,8,7,7,8,8,1027,707,6522,499,647
14,195,9,9,9,9,9,381,7100,444,424,321
120,198,5,3,5,4,5,7028,23107,1730,4207,2517
145,198,4,4,5,4,4,8783,11608,2217,1256,2779
102,198,7,6,6,6,6,2837,11031,1284,1392,1328
72,198,8,8,8,8,8,5424,1274,1948,1515,1413
76,209,7,6,7,5,7,1257,17564,1923,9877,2093
77,209,4,4,4,4,5,1333,10469,1760,2311,1915
110,209,4,5,4,4,5,1323,1081,1086,11925,1308
3,209,4,5,4,4,4,1020,989,1455,7895,1025
137,213,3,0,3,3,2,9275,17785,8348,5209,4551
13,213,7,8,6,8,6,7371,1764,3377,1621,2273
10,213,6,7,6,5,4,1703,1742,1855,15355,4363
6,214,9,9,0,0,6,1878,12050,1760,11364,6334
116,214,1,5,2,2,2,1131,6416,1409,10125,1222
110,214,4,5,3,4,2,4128,3615,1195,3081,2513
109,221,2,4,2,2,4,9092,4259,20588,8980,8253
35,221,5,6,4,6,1,3901,2452,4954,8834,5104
57,221,4,6,3,4,0,2315,2900,3769,2325,9664
111,221,4,5,4,4,0,2264,2086,7547,1848,3203
79,223,4,9,0,3,0,10770,5041,17685,6878,6008
13,223,9,9,9,9,9,2356,9115,2060,2042,1692
138,223,7,6,7,7,7,6297,2004,1826,1170,1359
140,223,5,5,4,4,3,1065,6205,624,585,735
142,224,3,4,6,5,4,7447,5161,3428,17320,7605
133,224,5,6,7,6,6,7546,6558,10383,6160,4713
122,224,6,7,4,4,6,2308,11663,4532,3637,2880
7,224,8,8,8,8,8,1313,1602,5462,2438,1231
24,238,6,2,4,1,3,7739,5017,15090,8100,4008
123,238,0,0,0,0,0,1463,2256,2977,9371,2896
111,238,8,8,7,9,8,2024,1923,2791,10366,1927
121,238,3,3,6,3,5,8154,2945,2402,2328,2442
35,261,2,7,2,1,1,2415,14537,3079,7256,3363
128,261,6,4,3,6,6,2981,9707,9363,1537,2885
148,261,4,3,5,3,3,1666,4016,5724,10358,1557
47,261,7,7,6,8,6,2021,4543,2900,5207,1343
145,266,6,5,5,6,4,8595,5549,2343,3012,2598
132,266,5,3,4,5,5,9502,1221,1396,2358,1587
43,266,7,6,6,6,7,6799,3248,1298,1540,1037
60,266,7,5,6,7,6,1809,5136,2089,1546,1111
101,267,8,7,8,7,6,4529,11997,2524,2842,12398
93,267,4,6,3,7,5,1953,3009,1925,8955,1956
14,267,4,4,2,4,2,2026,1656,1510,6010,1383
41,267,6,5,7,6,6,1306,2303,1194,3055,7753
54,270,4,6,4,4,5,1863,5384,1375,1246,1364
148,269,7,7,3,6,6,8985,4764,2447,6047,23544
107,268,4,6,2,5,3,2060,6211,41580,13491,6764
74,270,4,6,5,6,5,2326,8101,3532,699,1195
3,268,2,2,2,2,2,1099,1700,1236,1115,6960
99,270,4,3,4,6,5,960,1281,963,12166,1616
125,268,2,3,2,2,2,1187,10640,2452,1220,1404
124,268,2,2,2,2,2,762,4495,412,491,356
121,269,5,4,4,4,4,2432,5032,53266,3247,7676
106,269,4,6,6,6,5,1881,1475,16200,4914,6734
70,271,5,6,5,5,4,2220,7108,4794,7523,15407
147,269,2,6,3,7,6,6783,4982,2748,3631,2445
37,271,5,3,3,6,5,1428,1632,6859,1724,3097
107,271,6,7,6,5,7,2363,5897,2351,8832,1446
132,271,6,6,6,5,4,2208,1686,1146,4548,1461
7,279,0,2,0,1,0,3686,13550,3590,7963,2441
112,279,2,2,1,1,1,902,141139,672,715,579
43,279,8,9,8,8,8,2203,550,680,535,6648
58,279,1,1,1,0,0,721,1214,588,9536,1015
141,282,1,0,0,2,0,15461,4747,2072,3617,2048
33,282,6,5,4,6,4,7369,5161,3048,6604,4536
137,282,2,1,4,6,2,2208,14169,2445,5438,4076
137,282,2,1,4,6,2,2208,14169,2445,5438,4076
56,282,6,7,4,4,6,2662,2976,1970,2960,6979
117,284,3,5,2,3,3,2277,5775,14128,9807,24593
7,284,5,4,3,2,4,13967,4026,4266,11729,4131
89,284,5,6,5,7,7,6434,10557,2962,1842,2980
148,284,5,5,3,5,5,2759,11220,2859,10879,2274
142,286,1,2,0,2,2,9140,3290,1772,5017,1980
134,286,3,5,1,1,5,751,2366,985,730,2568
53,286,9,9,9,9,9,770,732,874,738,4243
4,286,1,1,1,1,1,456,699,5248,567,1067
32,287,6,6,1,7,6,6951,16377,10977,6727,10767
125,287,6,7,6,8,7,3216,6544,2044,11913,2778
103,287,6,2,3,6,6,2312,8483,2498,1830,10398
108,287,7,7,3,8,7,1982,14433,3476,2359,2009
101,289,3,1,0,2,3,10790,4782,5315,8714,23193
24,289,0,0,0,0,0,1460,1315,14942,1397,1115
5,289,6,3,4,7,6,10783,6617,1830,1849,2545
75,289,3,2,3,4,3,1582,831,1232,1198,28747
32,301,7,8,5,6,8,12337,3632,3257,5992,3661
69,292,9,9,9,9,9,18579,5775,4702,20989,4252
93,301,5,7,5,6,6,2055,2639,4093,16656,2896
12,292,5,5,4,5,4,3458,20531,2949,8405,2324
129,292,5,8,7,6,6,2723,2410,3859,12393,2471
137,301,4,7,7,6,6,3044,2238,3513,2233,21731
137,301,4,7,7,6,6,3044,2238,3513,2233,21731
15,301,8,8,8,9,8,2298,2595,5548,1903,8200
91,292,9,8,8,8,8,14819,1643,4521,2434,1473
55,285,5,6,5,6,7,691784,7109,3653,5519,3419
